tgn_uri,pleiades_uri,tgn_label,tgn_parentstring
http://vocab.getty.edu/tgn/1046072,http://pleiades.stoa.org/places/155765601,Pollina,"Palermo, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1046080,http://pleiades.stoa.org/places/433032,Pompei,"Napoli, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1046252,http://pleiades.stoa.org/places/383758,Recco,"Genova, Liguria, Italia, Europe, World"
http://vocab.getty.edu/tgn/1047218,http://pleiades.stoa.org/places/462062,Tripi,"Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1047259,http://pleiades.stoa.org/places/472038,Usellus,"Oristano, Sardegna, Italia, Europe, World"
http://vocab.getty.edu/tgn/1047264,http://pleiades.stoa.org/places/1361,Ustica,"Ustica, Isola di, Palermo, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1047280,http://pleiades.stoa.org/places/383651,Valenza,"Alessandria, Piemonte, Italia, Europe, World"
http://vocab.getty.edu/tgn/1047351,http://pleiades.stoa.org/places/433011,Ventotene,"Ventotene, Isola, Latina, Lazio, Italia, Europe, World"
http://vocab.getty.edu/tgn/1047597,http://pleiades.stoa.org/places/108722,Aardenburg,"Zeeland, Nederland, Europe, World"
http://vocab.getty.edu/tgn/1047760,http://pleiades.stoa.org/places/98951,Elst,"Gelderland, Nederland, Europe, World"
http://vocab.getty.edu/tgn/1048066,http://pleiades.stoa.org/places/99028,Rijswijk,"Zuid-Holland, Nederland, Europe, World"
http://vocab.getty.edu/tgn/1049772,http://pleiades.stoa.org/places/256345,Faro,"Faro, Portugal, Europe, World"
http://vocab.getty.edu/tgn/1049926,http://pleiades.stoa.org/places/256303,Mirobriga,"Setúbal, Portugal, Europe, World"
http://vocab.getty.edu/tgn/1049934,http://pleiades.stoa.org/places/256446,Serpa,"Beja, Portugal, Europe, World"
http://vocab.getty.edu/tgn/1050073,http://pleiades.stoa.org/places/216722,Cernavodă,"Constanţa, România, Europe, World"
http://vocab.getty.edu/tgn/1060267,http://pleiades.stoa.org/places/971886,Termiz,"Surxondaryo, O'zbekiston, Asia, World"
http://vocab.getty.edu/tgn/1060929,http://pleiades.stoa.org/places/863918,Vani,"Imereti, Sakartvelo, Asia, World"
http://vocab.getty.edu/tgn/1061695,http://pleiades.stoa.org/places/265762,Adra,"Almería, Andalucía, España, Europe, World"
http://vocab.getty.edu/tgn/1061757,http://pleiades.stoa.org/places/266038,Almuñécar,"Granada, Andalucía, España, Europe, World"
http://vocab.getty.edu/tgn/1061779,http://pleiades.stoa.org/places/266087,Arjona,"Jaén, Andalucía, España, Europe, World"
http://vocab.getty.edu/tgn/1061793,http://pleiades.stoa.org/places/256008,Ayamonte,"Huelva, Andalucía, España, Europe, World"
http://vocab.getty.edu/tgn/1061804,http://pleiades.stoa.org/places/246220,Badalona,"Barcelona, Cataluña, España, Europe, World"
http://vocab.getty.edu/tgn/1062221,http://pleiades.stoa.org/places/246436,Mataró,"Barcelona, Cataluña, España, Europe, World"
http://vocab.getty.edu/tgn/1062293,http://pleiades.stoa.org/places/236561,Navia,"Asturias, Principado de Asturias, España, Europe, World"
http://vocab.getty.edu/tgn/1063904,http://pleiades.stoa.org/places/187292,Arbon,"Thurgau, Schweiz, Europe, World"
http://vocab.getty.edu/tgn/1064896,http://pleiades.stoa.org/places/197276,Ajdovščina,"Ajdovščina, Slovenija, Europe, World"
http://vocab.getty.edu/tgn/1064959,http://pleiades.stoa.org/places/197263,Cavtat,"Dubrovačko-Neretvanska Županija, Hrvatska, Europe, World"
http://vocab.getty.edu/tgn/1064961,http://pleiades.stoa.org/places/197206,Celje,"Celje, Slovenija, Europe, World"
http://vocab.getty.edu/tgn/1065113,http://pleiades.stoa.org/places/197326,Ludbreg,"Varaždinska Županija, Hrvatska, Europe, World"
http://vocab.getty.edu/tgn/1065239,http://pleiades.stoa.org/places/197505,Senj,"Ličko-Senjska Županija, Hrvatska, Europe, World"
http://vocab.getty.edu/tgn/1065246,http://pleiades.stoa.org/places/197502,Skradin,"Šibensko-Kninska Županija, Hrvatska, Europe, World"
http://vocab.getty.edu/tgn/1065269,http://pleiades.stoa.org/places/197247,Stolac,"Bosne i Hercegovine, Federacija, Bosna i Hercegovina, Europe, World"
http://vocab.getty.edu/tgn/1074251,http://pleiades.stoa.org/places/707587,Lemesós,"Lemesós, Kypriakí Dimokratía, Asia, World"
http://vocab.getty.edu/tgn/1078917,http://pleiades.stoa.org/places/884116,Āmol,"Māzandarān, Īrān, Asia, World"
http://vocab.getty.edu/tgn/1078954,http://pleiades.stoa.org/places/884111,Ahar,"Āz̄arbāyjān-e Sharqī, Īrān, Asia, World"
http://vocab.getty.edu/tgn/1078997,http://pleiades.stoa.org/places/29501,Bam,"Kermān, Īrān, Asia, World"
http://vocab.getty.edu/tgn/1079062,http://pleiades.stoa.org/places/903015,Dezfūl,"Khūzestān, Īrān, Asia, World"
http://vocab.getty.edu/tgn/1079076,http://pleiades.stoa.org/places/922617,Fīrūzābād,"Fārs, Īrān, Asia, World"
